Event,Type
Job Opening for Back End Developer (Node-Js) -  (Shivaji Nagar)!,Jobs
Job Alert : Front-End Engineer - React.js/Javascript,Jobs
Opening for Openshift Developer with popular MNC!!!,Jobs
Mobile Application Developer: Jobs ,Jobs
Hiring on Urgent Basis Web Developer,Jobs
Machine Learning Jobs ,Jobs
Bizops Engineer Jobs ,Jobs
Computer Operator Data Entry Operator job at Obelisk System pvt ltd in India...,Jobs
Urgent Opening for Web Developer || IT Company || Hinjewadi ,Jobs
Vacancy for Android Developer,Jobs
Job opening for Data Scientist,Jobs
IIT Bombay is hiring for part time web developer,Jobs
Graphic Designer Jobs ,Jobs
Java Developer Jobs in ,Jobs
Amdocs Is Hiring Technology Specialist,Jobs
Job Acura - Graduate Jobs - Information Technology - Java,Jobs
Systems Analyst - IT Jobs,Jobs
wipro recruitment for freshers – Need WAS L3 support for WIPRO ltd,Jobs
Punjab National Bank Jobs In  - Apply Finance Officer Jobs In,Jobs
"WORKDAY FINANCE Jobs in ,Chennai,Noida",Jobs
Hiring Manager Finance and Accounts for a leading textile industry in ,Jobs
 Elevate Tech Festival 2020,Fests
 Katapult Future Fest,Fests
NIT Jamshedpur – Techno-Management Fest – 2019 – Ojass,Fests
RGUKT – Techno Management Cultural Fest – Abhiyanth – 2019,Fests
BITS Pilani – Technical Fest – APOGEE– 2019,Fests
Technex – IIT (BHU) – Techno-Management Fest – 2019,Fests
Essentia 2018 - IEEE TECHITHON (Technical Fest),Fests
SPECTRUM 2020!!!,Fests
Altis Festival is here with new events,Fests
Mood Indigo is the Largest College Festival in Asia,Fests
Kshitij - A four day college festival of Mumbai’s Mithibai College,Fests
“Premier Youth Festival” 2020,Fests
Innovision 2020 !!!,Fests
Impact : An IT TechFest 2021,Fests
Gandharva 2021!!!- A Cultural Festival with new Events,Fests
Webinar On Updates About Current COVID-19 Situation And UK Universities September 2020 Intake,Webinars
"Online Webinar On ""Gearing Up Your Innovation Contest""",Webinars
Inspirational And Leadership Webinar,Webinars
TiE  Session on- Njurturing The Future,Webinars
Webinar On importance Of IELTS Exam For Overseas Opportunities,Webinars
KPIT Sparkel Ideation Competition,Competitions
Webinar On Data Science,Webinars
MIC Innovation Contest,Competitions
IIC National Innovation Contest 2020,Competitions
"A Session Organised By Department Of CSE For ""Project Guidance From Selection To Implementation""",Webinars
KMITL Online Internship,Internships
Attend The Virtual Session On Aritficial Intelligence,Webinars
Live Demo Lecture On Digital Marketing,Talks
Live Lecture On Python ,Talks
"Webinar On ""Human Values And Professional  Ethics""",Webinars
Full Stack Web Development Course,Courses
Attend IDP's New Zealand Virtual Education Fair ,Expos
Free Webinar On- How To Prepare For Coding Interviews?,Webinars
Online Matlab For Enginners Bootcamp,Workshops
